Invoice ID,Invoice Number,Invoice Date,Due Date,Sale ID,Customer ID,Customer Name,Subtotal,Discount,Tax,Total Amount,Amount Paid,Balance Due,Payment Status,Invoice Status,Created By
INV-2026-000001,INV-2026-000001,2026-07-10,2026-08-09,SALE-2026-000001,CUST-000357,Sani Umar,225000.0,0.0,0.0,225000.0,225000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000002,INV-2026-000002,2026-07-29,2026-08-28,SALE-2026-000002,CUST-000123,Khadija Ibrahim,333900.0,10000.0,0.0,323900.0,323900.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000003,INV-2026-000003,2026-08-02,2026-09-01,SALE-2026-000003,CUST-000183,Maryam Suleiman,616000.0,0.0,0.0,616000.0,616000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000004,INV-2026-000004,2026-08-06,2026-09-05,SALE-2026-000004,CUST-000294,Aliyu Usman,608000.0,12200.0,0.0,595800.0,595800.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000005,INV-2026-000005,2026-07-28,2026-08-27,SALE-2026-000005,CUST-000486,Zainab Ahmad,309600.0,0.0,0.0,309600.0,309600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000006,INV-2026-000006,2026-07-20,2026-08-19,SALE-2026-000006,CUST-000106,Asma'u Ibrahim,295200.0,0.0,0.0,295200.0,295200.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000007,INV-2026-000007,2026-06-23,2026-07-23,SALE-2026-000007,CUST-000425,Safiya Lawal,161000.0,3200.0,0.0,157800.0,157800.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000008,INV-2026-000008,2026-08-06,2026-09-05,SALE-2026-000008,CUST-000049,Maryam Aliyu,294400.0,8800.0,0.0,285600.0,285600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000009,INV-2026-000009,2026-07-04,2026-08-03,SALE-2026-000009,CUST-000208,Safiya Abdullahi,33600.0,700.0,0.0,32900.0,32900.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000010,INV-2026-000010,2026-07-05,2026-08-04,SALE-2026-000010,CUST-000327,Rukayya Bello,245700.0,7400.0,0.0,238300.0,238300.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000011,INV-2026-000011,2026-07-02,2026-08-01,SALE-2026-000011,CUST-000343,Yusuf Ahmad,129500.0,2600.0,0.0,126900.0,126900.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000012,INV-2026-000012,2026-06-30,2026-07-30,SALE-2026-000012,CUST-000505,Safiya Kabiru,636800.0,0.0,0.0,636800.0,636800.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000013,INV-2026-000013,2026-07-24,2026-08-23,SALE-2026-000013,CUST-000372,Usman Tanko,167700.0,3400.0,0.0,164300.0,164300.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000014,INV-2026-000014,2026-07-12,2026-08-11,SALE-2026-000014,CUST-000353,Usman Danjuma,635700.0,0.0,0.0,635700.0,635700.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000015,INV-2026-000015,2026-06-19,2026-07-19,SALE-2026-000015,CUST-000022,Bello Umar,241400.0,0.0,0.0,241400.0,241400.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000016,INV-2026-000016,2026-08-12,2026-09-11,SALE-2026-000016,CUST-000484,Abubakar Lawal,395500.0,11900.0,0.0,383600.0,383600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000017,INV-2026-000017,2026-06-17,2026-07-17,SALE-2026-000017,CUST-000365,Hassan Bello,153300.0,0.0,0.0,153300.0,153300.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000018,INV-2026-000018,2026-07-31,2026-08-30,SALE-2026-000018,CUST-000213,Zainab Usman,77400.0,2300.0,0.0,75100.0,75100.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000019,INV-2026-000019,2026-08-07,2026-09-06,SALE-2026-000019,CUST-000040,Hassan Tanko,261900.0,0.0,0.0,261900.0,261900.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000020,INV-2026-000020,2026-08-06,2026-09-05,SALE-2026-000020,CUST-000204,Rukayya Aliyu,192000.0,3800.0,0.0,188200.0,188200.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000021,INV-2026-000021,2026-07-18,2026-08-17,SALE-2026-000021,CUST-000447,Musa Shehu,227800.0,0.0,0.0,227800.0,227800.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000022,INV-2026-000022,2026-06-21,2026-07-21,SALE-2026-000022,CUST-000377,Asma'u Tanko,761100.0,22800.0,0.0,738300.0,738300.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000023,INV-2026-000023,2026-06-30,2026-07-30,SALE-2026-000023,CUST-000245,Khadija Usman,320000.0,0.0,0.0,320000.0,320000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000024,INV-2026-000024,2026-07-28,2026-08-27,SALE-2026-000024,CUST-000192,Umar Ibrahim,214200.0,0.0,0.0,214200.0,214200.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000025,INV-2026-000025,2026-06-26,2026-07-26,SALE-2026-000025,CUST-000231,Hadiza Aliyu,748000.0,22400.0,0.0,725600.0,725600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000026,INV-2026-000026,2026-08-12,2026-09-11,SALE-2026-000026,CUST-000281,Maryam Bello,134000.0,0.0,0.0,134000.0,134000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000027,INV-2026-000027,2026-07-24,2026-08-23,SALE-2026-000027,CUST-000069,Usman Yusuf,383800.0,11500.0,0.0,372300.0,372300.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000028,INV-2026-000028,2026-07-19,2026-08-18,SALE-2026-000028,CUST-000094,Ibrahim Ibrahim,248600.0,0.0,0.0,248600.0,248600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000029,INV-2026-000029,2026-07-12,2026-08-11,SALE-2026-000029,CUST-000133,Abubakar Usman,107500.0,2200.0,0.0,105300.0,105300.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000030,INV-2026-000030,2026-07-06,2026-08-05,SALE-2026-000030,CUST-000277,Ibrahim Aliyu,197800.0,0.0,0.0,197800.0,197800.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000031,INV-2026-000031,2026-06-26,2026-07-26,SALE-2026-000031,CUST-000493,Asma'u Hassan,527000.0,0.0,0.0,527000.0,527000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000032,INV-2026-000032,2026-07-28,2026-08-27,SALE-2026-000032,CUST-000273,Abubakar Shehu,43000.0,0.0,0.0,43000.0,43000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000033,INV-2026-000033,2026-07-06,2026-08-05,SALE-2026-000033,CUST-000380,Umar Garba,532000.0,0.0,0.0,532000.0,532000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000034,INV-2026-000034,2026-08-14,2026-09-13,SALE-2026-000034,CUST-000072,Khadija Hassan,60000.0,0.0,0.0,60000.0,60000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000035,INV-2026-000035,2026-07-05,2026-08-04,SALE-2026-000035,CUST-000135,Aliyu Sani,70200.0,2100.0,0.0,68100.0,68100.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000036,INV-2026-000036,2026-07-08,2026-08-07,SALE-2026-000036,CUST-000111,Hadiza Bello,107200.0,0.0,0.0,107200.0,107200.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000037,INV-2026-000037,2026-07-14,2026-08-13,SALE-2026-000037,CUST-000206,Ibrahim Mohammed,129500.0,2600.0,0.0,126900.0,126900.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000038,INV-2026-000038,2026-08-02,2026-09-01,SALE-2026-000038,CUST-000038,Asma'u Tanko,456000.0,13700.0,0.0,442300.0,442300.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000039,INV-2026-000039,2026-07-12,2026-08-11,SALE-2026-000039,CUST-000099,Aliyu Hassan,408000.0,0.0,0.0,408000.0,408000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000040,INV-2026-000040,2026-07-20,2026-08-19,SALE-2026-000040,CUST-000245,Khadija Usman,157000.0,0.0,0.0,157000.0,157000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000041,INV-2026-000041,2026-08-13,2026-09-12,SALE-2026-000041,CUST-000252,Khadija Mohammed,124000.0,0.0,0.0,124000.0,124000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000042,INV-2026-000042,2026-08-14,2026-09-13,SALE-2026-000042,CUST-000212,Safiya Hassan,75500.0,1500.0,0.0,74000.0,74000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000043,INV-2026-000043,2026-08-02,2026-09-01,SALE-2026-000043,CUST-000454,Abubakar Aliyu,393600.0,11800.0,0.0,381800.0,381800.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000044,INV-2026-000044,2026-06-17,2026-07-17,SALE-2026-000044,CUST-000360,Ahmed Mohammed,684600.0,0.0,0.0,684600.0,684600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000045,INV-2026-000045,2026-06-19,2026-07-19,SALE-2026-000045,CUST-000142,Fatima Ahmad,204600.0,0.0,0.0,204600.0,204600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000046,INV-2026-000046,2026-08-09,2026-09-08,SALE-2026-000046,CUST-000154,Ibrahim Mohammed,448000.0,0.0,0.0,448000.0,448000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000047,INV-2026-000047,2026-07-07,2026-08-06,SALE-2026-000047,CUST-000178,Muhammad Tanko,79200.0,0.0,0.0,79200.0,79200.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000048,INV-2026-000048,2026-08-02,2026-09-01,SALE-2026-000048,CUST-000504,Zainab Kabiru,101400.0,3000.0,0.0,98400.0,98400.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000049,INV-2026-000049,2026-07-13,2026-08-12,SALE-2026-000049,CUST-000430,Abubakar Shehu,316400.0,0.0,0.0,316400.0,316400.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000050,INV-2026-000050,2026-06-20,2026-07-20,SALE-2026-000050,CUST-000109,Abubakar Danjuma,338400.0,0.0,0.0,338400.0,338400.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000051,INV-2026-000051,2026-07-15,2026-08-14,SALE-2026-000051,CUST-000349,Rukayya Shehu,212100.0,4200.0,0.0,207900.0,207900.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000052,INV-2026-000052,2026-07-20,2026-08-19,SALE-2026-000052,CUST-000236,Hassan Suleiman,46200.0,1400.0,0.0,44800.0,44800.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000053,INV-2026-000053,2026-06-25,2026-07-25,SALE-2026-000053,CUST-000151,Aliyu Mohammed,592200.0,17800.0,0.0,574400.0,574400.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000054,INV-2026-000054,2026-07-10,2026-08-09,SALE-2026-000054,CUST-000094,Ibrahim Ibrahim,107800.0,0.0,0.0,107800.0,107800.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000055,INV-2026-000055,2026-07-02,2026-08-01,SALE-2026-000055,CUST-000165,Bello Musa,155400.0,0.0,0.0,155400.0,155400.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000056,INV-2026-000056,2026-07-20,2026-08-19,SALE-2026-000056,CUST-000156,Hussaini Usman,381300.0,0.0,0.0,381300.0,381300.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000057,INV-2026-000057,2026-06-25,2026-07-25,SALE-2026-000057,CUST-000179,Usman Aliyu,349600.0,0.0,0.0,349600.0,349600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000058,INV-2026-000058,2026-07-26,2026-08-25,SALE-2026-000058,CUST-000159,Muhammad Kabiru,81000.0,1600.0,0.0,79400.0,79400.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000059,INV-2026-000059,2026-08-04,2026-09-03,SALE-2026-000059,CUST-000230,Zainab Yusuf,71400.0,1400.0,0.0,70000.0,70000.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000060,INV-2026-000060,2026-08-11,2026-09-10,SALE-2026-000060,CUST-000123,Khadija Ibrahim,64000.0,1300.0,0.0,62700.0,62700.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000061,INV-2026-000061,2026-08-07,2026-09-06,SALE-2026-000061,CUST-000474,Safiya Kabiru,128700.0,0.0,0.0,128700.0,128700.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000062,INV-2026-000062,2026-07-05,2026-08-04,SALE-2026-000062,CUST-000147,Musa Lawal,176000.0,5300.0,0.0,170700.0,170700.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000063,INV-2026-000063,2026-06-19,2026-07-19,SALE-2026-000063,CUST-000448,Hadiza Suleiman,458500.0,0.0,0.0,458500.0,458500.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000064,INV-2026-000064,2026-07-01,2026-07-31,SALE-2026-000064,CUST-000034,Asma'u Suleiman,80600.0,0.0,0.0,80600.0,80600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000065,INV-2026-000065,2026-07-20,2026-08-19,SALE-2026-000065,CUST-000112,Fatima Umar,127600.0,0.0,0.0,127600.0,127600.0,0.0,Paid,Issued,Demo Administrator
INV-2026-000066,INV-2026-000066,2026-07-20,2026-08-19,SALE-2026-000066,CUST-000063,Hadiza Abubakar,86100.0,0.0,0.0,86100.0,86100.0,0.0,Paid,Issued,Demo Administrator
